rank,name,country_name,country_id,value
1,Rafael Nadal,Spain,ESP,92
2,Novak Djokovic,Serbia,SRB,90
3,Andy Murray,United Kingdom,GBR,46
4,Juan Martin Del Potro,Argentina,ARG,22
5,Marin Cilic,Croatia,CRO,20
6,Alexander Zverev,Germany,GER,19
7,Jo Wilfried Tsonga,France,FRA,18
8,Dominic Thiem,Austria,AUT,17
9,Stan Wawrinka,Switzerland,SUI,16
9,John Isner,United States,USA,16
11,Richard Gasquet,France,FRA,15
11,Daniil Medvedev,Russian Federation,RUS,15
13,Gilles Simon,France,FRA,14
14,Tommy Robredo,Spain,ESP,12
14,Andrey Rublev,Russian Federation,RUS,12
16,Gael Monfils,France,FRA,11
16,Roberto Bautista Agut,Spain,ESP,11
18,Sam Querrey,United States,USA,10
19,Fabio Fognini,Italy,ITA,9
19,Stefanos Tsitsipas,Greece,GRE,9
19,Casper Ruud,Norway,NOR,9
22,Philipp Kohlschreiber,Germany,GER,8
22,Grigor Dimitrov,Bulgaria,BUL,8
24,Fernando Verdasco,Spain,ESP,7
24,Feliciano Lopez,Spain,ESP,7
24,Kevin Anderson,South Africa,RSA,7
24,Matteo Berrettini,Italy,ITA,7
24,Nick Kyrgios,Australia,AUS,7
24,Pablo Carreno Busta,Spain,ESP,7
30,Pablo Cuevas,Uruguay,URU,6
30,David Goffin,Belgium,BEL,6
30,Alex De Minaur,Australia,AUS,6
30,Jannik Sinner,Italy,ITA,6
30,Carlos Alcaraz Garfia,Spain,ESP,6
35,Lucas Pouille,France,FRA,5
35,Christian Garin,Chile,CHI,5
35,Nikoloz Basilashvili,Georgia,GEO,5
35,Hubert Hurkacz,Poland,POL,5
39,Marcel Granollers,Spain,ESP,4
39,Jack Sock,United States,USA,4
39,Pablo Andujar,Spain,ESP,4
39,Steve Johnson,United States,USA,4
39,Karen Khachanov,Russian Federation,RUS,4
39,Diego Sebastian Schwartzman,Argentina,ARG,4
39,Albert Ramos,Spain,ESP,4
39,Joao Sousa,Portugal,POR,4
39,Reilly Opelka,United States,USA,4
39,Cameron Norrie,United Kingdom,GBR,4
39,Taylor Harry Fritz,United States,USA,4
50,Andreas Seppi,Italy,ITA,3
50,Damir Dzumhur,Bosnia and Herzegovina,BIH,3
50,Marco Cecchinato,Italy,ITA,3
50,Benoit Paire,France,FRA,3
50,Ugo Humbert,France,FRA,3
50,Aslan Karatsev,Russian Federation,RUS,3
50,Borna Coric,Croatia,CRO,3
50,Lorenzo Sonego,Italy,ITA,3
50,Felix Auger Aliassime,Canada,CAN,3
50,Holger Vitus Nodskov Rune,Denmark,DEN,3
60,Robin Haase,Netherlands,NED,2
60,Lukas Rosol,Czech Republic,CZE,2
60,Federico Delbonis,Argentina,ARG,2
60,Denis Istomin,Uzbekistan,UZB,2
60,Jiri Vesely,Czech Republic,CZE,2
60,Kyle Edmund,United Kingdom,GBR,2
60,Laslo Djere,Serbia,SRB,2
60,Adrian Mannarino,France,FRA,2
60,Yoshihito Nishioka,Japan,JPN,2
60,Lorenzo Musetti,Italy,ITA,2
70,Mikhail Kukushkin,Kazakhstan,KAZ,1
70,Horacio Zeballos,Argentina,ARG,1
70,Peter Gojowczyk,Germany,GER,1
70,Mirza Basic,Bosnia and Herzegovina,BIH,1
70,Roberto Carballes Baena,Spain,ESP,1
70,Frances Tiafoe,United States,USA,1
70,Taro Daniel,Japan,JPN,1
70,Marton Fucsovics,Hungary,HUN,1
70,Tennys Sandgren,United States,USA,1
70,Juan Ignacio Londero,Argentina,ARG,1
70,Radu Albot,"Moldova, Republic of",MDA,1
70,Dusan Lajovic,Serbia,SRB,1
70,Nicolas Jarry,Chile,CHI,1
70,Denis Shapovalov,Canada,CAN,1
70,Thiago Seyboth Wild,Brazil,BRA,1
70,Miomir Kecmanovic,Serbia,SRB,1
70,John Millman,Australia,AUS,1
70,Daniel Evans,United Kingdom,GBR,1
70,Alexei Popyrin,Australia,AUS,1
70,Juan Manuel Cerundolo,Argentina,ARG,1
70,Sebastian Korda,United States,USA,1
70,Ilya Ivashka,Belarus,BLR,1
70,Soon Woo Kwon,"Korea, Republic of",KOR,1
70,Tommy Paul,United States,USA,1
70,Thanasi Kokkinakis,Australia,AUS,1
70,Alexander Bublik,Kazakhstan,KAZ,1
70,Pedro Martinez Portero,Spain,ESP,1
70,Sebastian Baez,Argentina,ARG,1
70,Tim Van Rijthoven,Netherlands,NED,1
70,Francisco Cerundolo,Argentina,ARG,1
70,Maxime Cressy,France,FRA,1
70,Brandon Nakashima,United States,USA,1
70,Marc Andrea Huesler,Switzerland,SUI,1